post_id,store_id,stores,create_on,ramen_name,fb_review
T300001,0,Hirosらあ麵Kitchen,2020-05-22,黑蒜拉麵/250,配置選了細麵竹北終於有一幸舍以外的拉麵店了QQ，竹北這種超多肥宅工程師居住的地方怎麼會拉麵店這麼少(歧視剛開幕，大雨中等了一點時間。只能選麵的粗細，其他固定，麵是正常的偏硬日式拉麵口感。配料少少的，就是兩片叉燒、半個蛋、一片海苔，不過叉燒肉非常好吃！肥瘦適中又軟軟的不柴，很好入口！不過讓我比較困惑的是碗旁邊的檸檬片，到底是裝飾品還是要加進湯裡...？我看我旁邊的人都沒有放就不敢放了TZ湯頭是厚厚的東京醬油豚骨拉麵那種有點稠稠的濃湯湯頭，雖然是濃湯，但是香氣和鹹度都是適中普通，沒有特別強烈的刺激，也是很容易喝光的湯XD。我點...
T300002,0,Hirosらあ麵Kitchen竹北店,2020-07-10,麻婆豆腐(星期四限定),配置固定的交通:我是走路啦昨天竹北店剛出的麻婆豆腐限定，好像只有星期四有麵是細麵，有兩片很大塊的叉燒肉，肥瘦適中的炙燒叉燒肉，好吃，還有溏心蛋。整體是用定番的豚骨濃湯加上特製的麻婆豆腐。超好吃的老闆娘是四川人。原本懷疑麻婆豆腐和拉麵真的會搭嗎？抱著可能會踩雷的心情去試看看，結果超級好吃，好意外。但是很辣，超辣，真的很辣。怕辣真的不要輕易嘗試。照片還有再前幾天吃的咖哩，也很好吃哦，有酸甜的水果味，不會膩。...
T300003,0,Hirosらあ麵Kitchen竹北店,2020-09-18,叉燒拉麵(320),配置麵硬，加麵(免費)，炙燒叉燒壽司捲(50)完食速記:到現場的時候前面共有7組客人網路上查評價感覺很厲害號稱「想吃還不一定吃得到的拉麵」這種店我最愛去給他洗臉了壽司捲沒有太大亮點就是叉燒飯變成壽司形狀麵吃不夠加點一下會飽今天好像被我點到最後一份拉麵上桌從外觀來看非常樸實跟裝潢一樣非常簡約沒有過多裝飾拍照時一度以為這碗拉麵是天使來著好耀眼原來是鏡頭霧掉了網路上查評價感覺很厲害號稱「想吃還不一定吃得到的拉麵」這種店我最愛去給他洗臉了...
T300004,0,Hirosらあ麵Kitchen新北新店店,2020-11-30,叉燒拉麵320,看到拉麵社團的情報，說是捷運大坪林站附近又有新開的拉麵店，自然是馬上想辦法抽了時間過來看看。原本是週二晚上要來的，幸好事先有看了拉麵店的官方粉絲頁知道當天沒有營業，免去了撲空的狀況，於是就改為週三晚上前來報到。晚上大約五點二十左右抵達，距離開店的時間還有十分中左右，這個時後門口已經坐了另外六位客人。在等候開店的過程中，後面又陸陸續續來了好幾位客人，大約在正式開店前，門口的客人就已經將近有二十位了。開店了，負責帶位的工作人員引導客人入座。其實店內的空間還滿大的，櫃臺雖然只安排的八個座位，不過其實每位客人的座位之間距離和空間都還滿大...
T300005,0,Hirosらあ麵Kitchen新北新店店,2020-12-07,豚骨拉麵240,配置麵硬粗麵在南臺北國戰區，從文山到新店在我心目中應該是海貓亭制霸因為整個文山區加上新店區的日本拉麵真的非常少，除了之前實體炎上的百壽爺外，就只剩下家樂福內的連鎖拉麵花月嵐了等到了今日，新店總算又要再開一間日拉了直接說感想，首先是排隊真的要很久，消化率很慢尤其你看到那種整家子去的一定同進同出，一個小朋友吃麵速度可以擊殺整間店店內鄰近地點:數其實不多，座位與座位之間的距離很寬，整體空間利用沒有說非常好，這應該是顧慮到出餐速度所以直接限制座位數拉麵的選擇雖然只有單一口味，不過這碗豚骨拉麵非常的棒，使用的醬底應該是柚子醬油(憑...
T300006,0,Hirosらあ麵Kitchen新北新店店,2020-11-19,叉燒拉麵,配置粗麵，麵硬新店店！新店除了百壽爺及海貓亭以外，又進駐了一家豚骨拉麵！來到店門口約稍後了一下登記後等待入座其實排隊期間就一直回想以前去新竹本店吃的記憶湯本體的味道很醇厚，背脂雖然多但不會到膩口感上感覺除了檸檬可以再用洋蔥轉味叉燒的話有炙燒過但湯味道有一些被影響不過叉燒本體比較鹹一些粗麵的口感很好，麵芯還有一點點的鹼水味不過湯體本身我個人覺得比較適合細麵其他炸豬排，咖哩飯，叉燒手卷都是味道不錯如果有來訪會再補齊其他品項整體而言餐點的體驗都不錯只有出餐慢了一些看廚房內只有一口加熱爐要處理湯跟咖哩加熱還有旁邊佔掉一個爐口來炙燒...
T300007,0,Hirosらあ麵Kitchen,2020-07-31,今日限定淡麗雞湯醤油拉麵220,"配置細麵/麵硬配菜:炸漢堡排80,菲力炸豬排150上次來吃Hiro大概是6月吧當時是為了燉煮漢堡排今天則是為了限定的雞湯拉麵第一個感想就是...暑假果然很難排隊QQ同樣的時間到場6月份可以排第二組今天居然連第一輪都排不進去QQ這也是我人生第一次為了吃東西排2小時的隊不過這一切在喝了第一口湯之後煩惱都沒了上菜的時候麵上會有一匙柴魚粉老闆會請顧客先吃原味之後在把柴魚粉拌進湯內不過我跟老婆的想法都是柴魚粉不要拌進去比較好吃因為加入了醬油味道會帶一點甘甜味也讓雞湯更順口所以跟新竹其他家主打雞湯麵的店家有所區隔配菜部分在雞湯麵算定番..."
T300008,1,LeMing麵食精釀餐酒館臺北中山店,2020-06-04,松露干貝拉麵/300,"配置加點一瓶金色三麥180,打卡買一送一到6/7一直素聞Leming大名已久,於是趕快趁試營運時來訪進門後就跳脫我們對一般拉麵店的印象,以白色系為主的裝潢搭配黃光,店內又放著歐美音樂,跟平常喜歡去的loungebar感覺很類似,加上空間座位又寬敞,這點真的很讓人放鬆端上後兩大顆干貝就佔了1/4,從小吃海產長大,一咬干貝就知道是新鮮,肉質Q彈紮實又不乾柴,另外舒肥雞肉也是1/4也是滑嫩彈牙麵條部分外軟內硬,口感介於中捲麵與細麵之間,而豚雞湯頭與松露互相搭配,著實衝擊我的味蕾,這是讓我驚艷的地方,所以請先喝原味後,接著攪拌松露..."
T300009,1,LeMing麵食精釀餐酒館林口店,2020-05-19,白蘭地鴨胸拉麵300,原味雞湯拉麵240松露貝雞湯拉麵300炸牡蠣180黑胡椒鬆阪豬180金色三麥芭樂柳橙120(本日推薦)欸....先說喔！這是三個人吃，不是我而已，別老是把我當豬啦！雖然我在中山店第一次的時候....今天因為為了幫朋友做行銷練習，所以去了林口，想說反正我也很想嘗試白蘭地鴨胸的味道，所以推薦朋友去了這邊吃。餒個價錢的部分我有點忘記，老人家記性不好不要為難我，因為買單沒看價錢，如果有錯請原諒。先說我的部分好了，因為我個性算是有點急，所以一直洗腦朋友跟我去吃，所以當然是點了中山店沒有的菜色，並且是我一直想吃的白蘭地鴨胸拉麵，通常...
T300010,1,LeMing麵食精釀餐酒館,2020-08-27,干貝松露雞拉麵，300TWD(=10.21USD),配置Default延伸:RoodytheTraveler旅者RoodyBlog:https://ryokousharoody.blogspot.com/FanPage:https://www.facebook.com/yuro.tsai/Instagram:https://www.instagram.com/roodytsai1224/#拉麵#美食#雞湯#干貝#麵#松露#叉燒#雞肉#舒肥#溏心蛋#蓮藕#雞唐揚#臺北#臺灣圖多Blog好讀版:English:https://ryokousharoody.blogspot.co...
