,Description,published
0,"2020金賞前哨戰：中部篇
 各位麵友晚安，距離年度人氣拉麵店票選又更近了，這次金賞又將獎落誰家？（我好興奮啊～）
 金賞票選開始前，社團將從下下週開始暫停加入審核，歡迎大家在票選前呼朋引伴加入社團，投票支持心愛的店家！
2020金賞前哨戰中部篇：戰況激烈，讓子彈飛？
 加入台灣拉麵愛好會，投票支持心愛店家：https://www.facebook.com/groups/RamenTW/
 台灣拉麵愛好會每年都會舉辦「年度拉麵店」人氣投票，每位成員皆可投票、留言替喜愛的店家拉票。今年的初選盛況空前熱烈，來自各地的麵友也持續為社團帶來新活力，再加上去年眾多店家開幕，今年的名次產生不小的變化。
… 更多 中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。
 冠軍：山下公園 ラーメン
 山下公園位於臺中「金典綠園道」商場三樓「第六市場」，是2019年全臺十大票選名店中，唯一本部在臺中的店家。臺中不斷有新店家開幕，山下公園在激烈的競爭下仍屹立不搖，且常不拘於傳統框架，以驚人的創意開發出新穎的限定品項，吸引饕客們光顧。
 其定番品項包含清湯、濃湯，以及最新的生薑，多數品項以豚雞湯頭為主，豚骨的厚實與雞湯的鮮美香氣構成整碗湯頭的主調，濃厚且不過鹹，配上部分全粒粉製成的麵條，多重香氣在口中，宛如協奏曲般迷人。
… 更多  中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。","11月28日下午9:10
11月28日下午9:00"
1,"2020金賞前哨戰中部篇：戰況激烈，讓子彈飛？
 加入台灣拉麵愛好會，投票支持心愛店家：https://www.facebook.com/groups/RamenTW/
 台灣拉麵愛好會每年都會舉辦「年度拉麵店」人氣投票，每位成員皆可投票、留言替喜愛的店家拉票。今年的初選盛況空前熱烈，來自各地的麵友也持續為社團帶來新活力，再加上去年眾多店家開幕，今年的名次產生不小的變化。
… 更多 中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。
 冠軍：山下公園 ラーメン
 山下公園位於臺中「金典綠園道」商場三樓「第六市場」，是2019年全臺十大票選名店中，唯一本部在臺中的店家。臺中不斷有新店家開幕，山下公園在激烈的競爭下仍屹立不搖，且常不拘於傳統框架，以驚人的創意開發出新穎的限定品項，吸引饕客們光顧。
 其定番品項包含清湯、濃湯，以及最新的生薑，多數品項以豚雞湯頭為主，豚骨的厚實與雞湯的鮮美香氣構成整碗湯頭的主調，濃厚且不過鹹，配上部分全粒粉製成的麵條，多重香氣在口中，宛如協奏曲般迷人。
… 更多  中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。",11月28日下午9:00
2,"▎店家：雞吉君 ▎區域：內湖Ducati ▎用餐時間：2020/12/02 19:00 ▎排隊狀況：全滿排一小時 ▎拉麵名稱／價格：特濃雞吉君 ▎配置：額外加點叉燒飯(小)
 內湖平常實在不是小弟活動範圍 通常到了內湖就代表我又去修車了(義式浪漫!?) 回正題，雞吉君真的是目前吃過最優質的雞白湯拉麵了… 更多 上一次是午餐時間過來，沒吃到傳說中的特濃拉麵 剛好今天晚上來內湖辦事，當然直接特濃啊! 端上桌，就感受到""特。濃""不是跟你開玩笑的啊 已經是肉泥等級濃度的湯，配上略捲的粗麵條 心中此時大喊:不妙! 這會不會跟某次不好的超濃經驗很類似呢? 同時抄起筷子開始吸麵，才發現奧妙之處 雖然濃厚卻不會過鹹，是相當醇厚的滋味啊! 而且也沒有雞白湯處理不好時會產生的可怕雞味 讓我一口接一口，不到十五分鐘就快速的嗑完了 湯中的配料，蘿蔔絲，蒜苗，西洋芹接發揮了畫龍點睛的效果 如果能吃濃厚口味的，真的推薦你試試看啊!
 p.s唯一可惜的是，雞吉君好像都沒有玉子QQ  上一次是午餐時間過來，沒吃到傳說中的特濃拉麵 剛好今天晚上來內湖辦事，當然直接特濃啊! 端上桌，就感受到""特。濃""不是跟你開玩笑的啊 已經是肉泥等級濃度的湯，配上略捲的粗麵條 心中此時大喊:不妙! 這會不會跟某次不好的超濃經驗很類似呢? 同時抄起筷子開始吸麵，才發現奧妙之處 雖然濃厚卻不會過鹹，是相當醇厚的滋味啊! 而且也沒有雞白湯處理不好時會產生的可怕雞味 讓我一口接一口，不到十五分鐘就快速的嗑完了 湯中的配料，蘿蔔絲，蒜苗，西洋芹接發揮了畫龍點睛的效果 如果能吃濃厚口味的，真的推薦你試試看啊!",1 小時
3,勝王再搬遷到新址位置曝光後，引發大家的熱烈關注。只是沒想到幾天後，在勝王的轉角居然又開了一間［烹星］，一連兩間根本就讓麵友們暴動！雖然烹星在還沒有出現實體店面的時候就已經先知道粉專，不過當時還不知道居然那麼快就實體化。但是烹星其實是勝王的廚房，因為勝王本身店面的大小限制關係。可是既然是廚房，怎麼會有裝潢座位區呢？！帶著這樣的疑惑，直到烹星發布營業的消息才明白了一切。烹星這名字的由來是取《煮干》日文Niboshi的諧音相同而來的，當然現在很多麵友已經開始戲稱PornStar又是另一個故事了；不過我當時一看到這名字自以為吃了一段時間的拉麵，終於可以用來貢獻熬湯了...😆烹星目前是以乾物類食材為主的湯頭，也是目前市面上唯一主打這樣味道的拉麵店。店內有賣拉麵和沾麵，不過沾麵需要再加價40。店內座位為一字的吧檯位置，印象中有10出頭個座位。門口就是食劵機，然後也可以使用街口支付。翻桌速度我覺得算快的，下次要再來試試看沾麵版本的感受。▎乾物清湯拉麵+炊飯:在點餐機意外看到前幾天社團討論熱烈的勝王食記內的炊飯，馬上點起來！炊飯也是先上，因為肚子有點餓就開始先扒飯吃了~炊飯對我來說是小時候記憶的味道，因為小時候阿嬤很常用。那天和拉麵大前輩們排隊的時候聊到，炊飯就是有一個特殊的味道，喜歡的很喜歡。而勝王的炊飯30一碗只能說有夠超值，除了飯量足夠外，上面還有叉燒丁。然後師傅在煮麵的時候我以為不會拿到用賞美堂春秋文的麵，好在上一批春秋流水丼出完換我們這批的就拿春秋文的了，不然沒有拍到有點可惜，畢竟都被麵友拿來畫成圖了，可以說是一個標配的感覺。(笑看內場師傅在洗碗和放置的時候都格外小心且擔心起來，畢竟一個貴貴的...不知道金碗有沒有這個來的貴?!麵的配料都是勝王的固定班底成員，不同的就是烹星的湯和麵體了。麵體是多加水平打麵，而且長度比一般的麵還要長，吸麵的時候可以感受到。此外麵體是滑順軟Q的感受，所以喜愛麵都要硬的麵友要留意了，加麵才會換回原本勝王的細麵體。湯頭薑的香氣是這碗的底韻和延伸其他味道的引頭，然後湯頭些微的帶點酸。整體是一碗順口舒服的一碗麵~,8 小時
4,"▎店家：麵本初 ▎區域：台灣民俗文物館 ▎用餐時間：2020/12/02 18:00 ▎排隊狀況：店內七分滿，無排隊 ▎拉麵名稱／價格：限定清酒鮭魚 260 ▎配置：日鹹麵硬加飯
 我應該是最後吃到這一碗的人吧XD  板上也一堆食記了，我就簡單寫寫～
 是說雖然狸匠體系我沒什麼愛也比較少去吃，但是如果是優秀的限定總是會讓我流連忘返。比如說之前麵屋秋鳴的帕當牛肉咖哩沾麵（我極少數二刷的拉麵之一），比如說這次麵本初的清酒鮭魚。
 非常喜歡這次的食材，干貝、舒肥旗魚和雞腿圈圈真心好吃，全粒粉麵真的有夠香。特別要提一下晚香玉筍（夜來香的花苞和莖），除了市面上少見之外、口感和味道結束上乘。若以普羅旺斯的作法，水煮後淋上融化奶油再佐白酒，一定也很美味。
 最後講一下湯頭。鮭魚油脂的厚度和清酒香氣的穿透力互相平衡，略為偏鹹的日鹹更是將鮮味全力爆發出來，非常舒服。我個人認為平衡度和直球力大概位於山下公園和鮭的大助的中間，我想吃過這三家店的人應該懂我在說什麼XD 總之，是一碗非常推薦的限定（不過大家可能也吃不到了www）。
 非常滿足，感謝招待🙏",5 小時
5,"2020金賞前哨戰：中部篇
 各位麵友晚安，距離年度人氣拉麵店票選又更近了，這次金賞又將獎落誰家？（我好興奮啊～）
 金賞票選開始前，社團將從下下週開始暫停加入審核，歡迎大家在票選前呼朋引伴加入社團，投票支持心愛的店家！
2020金賞前哨戰中部篇：戰況激烈，讓子彈飛？
 加入台灣拉麵愛好會，投票支持心愛店家：https://www.facebook.com/groups/RamenTW/
 台灣拉麵愛好會每年都會舉辦「年度拉麵店」人氣投票，每位成員皆可投票、留言替喜愛的店家拉票。今年的初選盛況空前熱烈，來自各地的麵友也持續為社團帶來新活力，再加上去年眾多店家開幕，今年的名次產生不小的變化。
… 更多 中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。
 冠軍：山下公園 ラーメン
 山下公園位於臺中「金典綠園道」商場三樓「第六市場」，是2019年全臺十大票選名店中，唯一本部在臺中的店家。臺中不斷有新店家開幕，山下公園在激烈的競爭下仍屹立不搖，且常不拘於傳統框架，以驚人的創意開發出新穎的限定品項，吸引饕客們光顧。
 其定番品項包含清湯、濃湯，以及最新的生薑，多數品項以豚雞湯頭為主，豚骨的厚實與雞湯的鮮美香氣構成整碗湯頭的主調，濃厚且不過鹹，配上部分全粒粉製成的麵條，多重香氣在口中，宛如協奏曲般迷人。
… 更多  中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。","11月28日下午9:10
11月28日下午9:00"
6,"2020金賞前哨戰中部篇：戰況激烈，讓子彈飛？
 加入台灣拉麵愛好會，投票支持心愛店家：https://www.facebook.com/groups/RamenTW/
 台灣拉麵愛好會每年都會舉辦「年度拉麵店」人氣投票，每位成員皆可投票、留言替喜愛的店家拉票。今年的初選盛況空前熱烈，來自各地的麵友也持續為社團帶來新活力，再加上去年眾多店家開幕，今年的名次產生不小的變化。
… 更多 中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。
 冠軍：山下公園 ラーメン
 山下公園位於臺中「金典綠園道」商場三樓「第六市場」，是2019年全臺十大票選名店中，唯一本部在臺中的店家。臺中不斷有新店家開幕，山下公園在激烈的競爭下仍屹立不搖，且常不拘於傳統框架，以驚人的創意開發出新穎的限定品項，吸引饕客們光顧。
 其定番品項包含清湯、濃湯，以及最新的生薑，多數品項以豚雞湯頭為主，豚骨的厚實與雞湯的鮮美香氣構成整碗湯頭的主調，濃厚且不過鹹，配上部分全粒粉製成的麵條，多重香氣在口中，宛如協奏曲般迷人。
… 更多  中部地區（竹苗中彰投）是因應社團成員組成誕生的票選分區，其成員橫跨臺灣科技業、工業、農業、觀光等產業重鎮，是臺灣交通核心地帶。近年中部地區的拉麵名店成長更是突飛猛進，不僅票數大增，在去年首次獲得「人氣金賞」，更帶動中部地區麵友活躍。在競爭激烈的中部環境下，脫穎而出的前三名是：山下公園ラーメン、有囍yoshi ramenよし ラーメン中山店、らーめん七面鳥。本次也將為大家介紹異軍突起的「麵本初系列店」與新竹票選冠軍「大角拉麵」。",11月28日下午9:00
7,"▎店家：山越拉麵-總店 ▎區域／鄰近地點：嘉義林聰明沙鍋魚頭 ▎用餐時間：12/1（三）1920 ▎排隊狀況：等了20分鐘，42號 ▎拉麵名稱／價格： 濃厚魚介豚骨拉麵（大盛）$220 ▎配置：湯鹹度重、麵不可調整
 昨天有問老闆限定是什麼，所以提早知道沒有限定消息，老闆最近還在忙一些事情所以限定就延後，知道後也覺得很可惜，這次濃厚魚介就是之前山越豚骨哪款，體感上覺得湯沒那麼濃厚，不過味道跟之前不會差太多
… 更多 魚介豚骨這款湯配著洋蔥真的很享受，微微辛辣感配豚骨湯尾韻帶有柴魚甜味，如果不能接受這甜味會很不習慣，大盛的炙燒叉燒一樣優秀入口即化，真的很讚，很喜歡吃川耳，脆脆口感很棒，溏心蛋勾勾很棒，有點爆漿很爽
 整體來講如果不能接受湯頭甜味吃起來違和感很重，由於換了菜單如果之前很喜歡山越豚骨還是可以點，跟之前味道差不多，希望下禮拜能吃到限定  魚介豚骨這款湯配著洋蔥真的很享受，微微辛辣感配豚骨湯尾韻帶有柴魚甜味，如果不能接受這甜味會很不習慣，大盛的炙燒叉燒一樣優秀入口即化，真的很讚，很喜歡吃川耳，脆脆口感很棒，溏心蛋勾勾很棒，有點爆漿很爽",1 小時
8,"明天就是立冬了，時間過得好快啊！🤔 這幾天有沒有人發現我們外面換上新妝色了呢？🎅陸續還有其他規劃，也希望大家能看到我們努力認真的在做好經營🥰
 #熱情如火 #員林美食 #拉麵","11月25日上午11:27
11月6日下午10:02"
9,"明天就是立冬了，時間過得好快啊！🤔 這幾天有沒有人發現我們外面換上新妝色了呢？🎅陸續還有其他規劃，也希望大家能看到我們努力認真的在做好經營🥰
 #熱情如火 #員林美食 #拉麵",11月6日下午10:02
