latitude,longtitute
25.086283,121.566969
25.056086,121.525334
25.042253,121.563041
25.043711,121.553755
25.093249,121.52747
23.975744,120.979772
25.037301,121.552133
25.029168,121.522079
25.013039,121.535375
25.027178,121.54347
25.047167,121.541717
24.98972977,121.57004896
25.041918,121.555236
25.06138,121.525725
,
,
25.089639,121.526663
,
,
25.039743,121.553841
25.02165,121.527859
25.032905,121.549791
25.021854,121.527181
25.040762,121.551222
25.044347,121.545903
25.044163,121.544382
25.043942,121.508222
,
25.068746,121.612793
25.04464,121.544384
25.052363,121.524368
25.052443,121.520619
25.057384,121.524997
,
25.051011,121.523552
25.046737,121.553224
,
25.082045,121.570944
,
25.014138,121.53309
,
25.04747,121.545912
25.022245,121.543193
25.050245,121.525007
,
25.03609,121.567276
25.046254,121.516417
25.039752,121.553495
25.039524,121.565222
25.08283,121.55695
25.111845,121.531417
25.052443,121.520619
25.082728,121.559398
25.043934,121.507194
25.117663,121.533398
,
25.035584,121.567732
25.041217,121.569115
25.06463266,121.5334376
25.075619,121.577637
25.040672,121.547818
25.044081,121.525454
25.027152,121.543231
25.048074,121.552759
,
25.046254,121.516417
,
,
25.034919,121.508155
25.025259,121.55164
25.051043,121.520382
25.042437,121.547073
25.030797,121.549994
25.087692,121.509161
,
,
,
25.04387,121.549216
25.068803,121.51296
,
,
,
25.05452697,121.60679267
,
,
,
25.032027,121.529458
25.044728,121.50548
24.98972977,121.57004896
,
,
,
,
,
25.036295,121.546984
25.028356,121.550222
25.074766,121.577823
25.032911,121.502343
,
,
25.081153,121.556157
,
,
25.093191,121.526627
25.039374,121.566647
25.080735,121.5209
25.053285,121.553543
25.059326,121.547923
,
25.022273,121.526783
25.058093,121.55145
25.115297,121.508182
25.041555,121.56744
25.118613,121.528318
25.067114,121.599713
25.09185,121.525386
25.056167,121.555926
,
25.058849,121.546425
25.040786,121.531622
,
,
25.081465,121.579136
,
25.033424,121.564756
25.052688,121.607166
,
,
,
25.034128,121.557281
25.051436,121.52941
25.025261,121.54518
25.042267,121.552001
25.04123,121.568997
25.031782,121.529521
,
25.039003,121.575949
25.050668,121.522721
25.06485,121.525408
25.045168,121.517051
,
,
,
25.082851,121.546625
25.055834,121.523434
25.049863,121.594542
,
25.015677,121.532037
25.028441,121.569092
25.040262,121.548004
