name,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
新竹縣,豚骨,,,,,,,,,,,,,,,,
桃園市,豚骨,醬油,雞白,魚介,沾麵,雞清,柑橘,淡麗系,煮干,大骨,,,,,,,
新北市,豚骨,醬油,雞白,魚介,沾麵,雞清,淡麗系,煮干,素食,,,,,,,,
台北市,豚骨,醬油,雞白,魚介,沾麵,雞清,家系,雞豚,咖哩,味噌,柑橘,淡麗系,煮干,素食,魚白,辣味,拌麵
雲林縣,豚骨,雞白,魚介,,,,,,,,,,,,,,
高雄市,豚骨,醬油,雞白,魚介,沾麵,雞清,家系,雞豚,淡麗系,素食,拌麵,,,,,,
新竹市,豚骨,醬油,魚介,沾麵,雞清,家系,素食,,,,,,,,,,
台南市,豚骨,雞白,魚介,沾麵,雞清,雞豚,咖哩,淡麗系,煮干,素食,拌麵,辛口,,,,,
嘉義市,豚骨,沾麵,家系,,,,,,,,,,,,,,
屏東縣,豚骨,醬油,雞白,雞清,家系,,,,,,,,,,,,
台中市,豚骨,醬油,雞白,魚介,沾麵,雞清,家系,雞豚,味噌,辣味,拌麵,牛肉,,,,,
苗栗縣,豚骨,咖哩,,,,,,,,,,,,,,,
彰化縣,豚骨,雞白,家系,,,,,,,,,,,,,,
花蓮縣,豚骨,魚白,,,,,,,,,,,,,,,
台東縣,豚骨,,,,,,,,,,,,,,,,
南投縣,豚骨,,,,,,,,,,,,,,,,
宜蘭縣,豚骨,三星蔥,,,,,,,,,,,,,,,
基隆市,豚骨,素食,,,,,,,,,,,,,,,
