縣市,其他
台北市,"干貝雞, 可訂位, 咖哩, 2019名店, 素食, ＃豚骨蝦, 煲湯, 港式, 蕃茄, 義式, 限定, 變化, 炸雞, 點餐前加麵免費, 雞湯, 豚骨魚介, 辣味, 2019金賞, 2019金賞無提供標籤資訊, 魚豚, 二郎風, 油拌麵, 每月5號, 無限加麵, 雞魚介, 無限免費加麵, 每月1號, 每月20號, 大蒜, 炒飯, 牛骨, 擔擔麵, 大食, 雞濃白, 豚雞, 煮干, 加麵一球免費, 每月29號, 雞煮干, 雞白湯, 布丁, 雞清湯, 蒟蒻麵, 每月15日, 魚貝, 加麵無限免費, 柑橘, 雞濃, 淡麗, 免費加麵二球, 烏龍麵, 丼飯, 烏骨雞, 2019名店台北, 喜多方台北, 加麵二球免費, 餃子, 煎餃, 煽り系, 魚白湯, 豚骨蝦, 每月17日, 雞豚白湯, 雞豚清湯, 雞豚煮干, 泡系, 限定', 雞魚, 久留米, 柚子, 喜多方, 薩索雞, 咖哩飯, 蝦仁餛飩, 真果實冰淇淋, 豚清, 柚香, 麵飯無限吃到飽, 雞濃湯, 擔擔沾麵, 堅果, 外送, 豚濃, 魚介雞, 蝦豚骨, 冷凍包, CP值, 牛骨魚介, 雞蝦"
新北市,"雞湯, 無限免費加麵, 限定, 豚骨醬油, 2019名店, 泰式, 無化調, 臭味, 魚介豚骨, 雞清湯, 豚濃, 濃厚系, 泡系, 章魚燒, 布丁, 每月29日, 豚雞, 無限加麵, 豚骨陳淑雯-叉燒秘製辛拉麵, 茶系, 變化, 豚湯, 咖哩, 豚骨魚介, 豚骨蝦"
桃園市,"大骨, 雞清湯, 雞湯, 限定, 擔擔麵, 滷大腸, 魚介雞骨, 柚子, 蝦蟹, 雞白湯, 布丁, 2019名店"
新竹市,"二郎風, 加麵一球免費, 每月29日, 大食, 競賽, 限定"
台中市,"牛肉, 雞豚, 2019名店, 豚骨魚介, 辣味, 2019金賞, 二郎風, 雞豚魚介, 加麵一球免費, 雞豚湯, 限定, 魚介豚骨, 雞白湯, 玫塊麵, 七彩麵, 鰹雞白, 拌麵, 變化, 加飯一碗免費, 雞濃, 豚濃, 魚介雞骨, 雞貝, 串燒, 居酒屋, 米其林, 豚清, 豚雞, 蝦豚骨, 久留米, 無化調, 雞魚介, 泰式, 雞清湯, 紫蘇, 魚貝, 鮭白, 雞湯, 鴨醬底, 油拌麵, 鴨清湯, 鴨白湯"
南投縣,披薩
台南市,"2019名店, 雞魚, 雞湯, 拌麵, 限定, 雞清, 油拌麵, 擔擔麵, 雞豚, 辛口"
高雄市,"2019名店, 素食, 二郎風, 豚清湯, 限定, 豚清, 豚濃, CP值, 淡麗系, 雞清湯, 油拌麵"
屏東縣,2019名店
宜蘭縣,2019名店
花蓮縣,炸串
台東縣,CP值
